,stock_price_at_STO_offer,STO_ask_fee,STO_ask_fee_type,STO_offer_datetime,STO_strike,STO_expiry_datetime,STO_days_long,STO_offer_ARR,STO_offer_TQI,STO_offer_strike_delta,STO_xtn_state,STO_contracts,option_type,stock_price_BTC_offer,BTC_bid_fee,BTC_bid_fee_type,BTC_offer_datetime,BTC_contracts,stock_price_at_open,STO_open_fee,STO_open_commsn,STO_open_proceeds,STO_open_datetime,STO_open_ARR,STO_open_TQI,STO_open_strike_delta,stock_price_at_close,STO_close_strike_delta,BTC_close_commsn,BTC_close_proceeds,STO_close_datetime,STO_close_ARR,STO_close_TQI,Called_close_fee,Called_close_commsn,Called_close_proceeds,STO_xtn_net_proceeds
0,81.82,1.94,Mid,2017-05-01 11:30:00,80.0,2017-05-12 16:00:00,11.0,0.7867602942156842,-1.43190373547254,-1.8199999999999932,ClosedCalled,10.0,C,,,,,,82.1,1.94,10.0,1930.0,2017-05-01 15:30:00,0.7840770678773116,-1.6465618425423498,-2.0999999999999943,82.53,,,,2017-05-12 16:00:00,,,-2.530000000000001,10.0,-2540.000000000001,-610.0000000000009
1,81.81,1.935,Mid,2017-05-01 13:30:00,80.0,2017-05-12 16:00:00,11.0,0.7848284828482848,-1.4205395539553973,-1.8100000000000023,ClosedCalled,10.0,C,,,,,,82.1,1.935,10.0,1925.0,2017-05-01 15:30:00,0.7820562506920608,-1.642318126453323,-2.0999999999999943,82.53,,,,2017-05-12 16:00:00,,,-2.530000000000001,10.0,-2540.000000000001,-615.0000000000009
2,81.53,1.6549999999999998,Mid,2017-05-04 13:30:00,80.0,2017-05-12 16:00:00,8.0,0.926154483012388,-1.4170163590089546,-1.5300000000000011,ClosedCalled,10.0,C,,,,,,81.72,1.6549999999999998,10.0,1644.9999999999998,2017-05-04 15:30:00,0.9240011625061184,-1.5892819995105225,-1.7199999999999989,82.53,,,,2017-05-12 16:00:00,,,-2.530000000000001,10.0,-2540.000000000001,-895.0000000000011
3,81.87,1.91,Mid,2017-05-05 11:30:00,80.0,2017-05-12 16:00:00,7.0,1.2164755972011376,-2.274809366766133,-1.8700000000000045,ClosedCalled,10.0,C,,,,,,81.94,1.91,10.0,1900.0,2017-05-05 15:30:00,1.2154363820216885,-2.357946581122073,-1.9399999999999977,82.53,,,,2017-05-12 16:00:00,,,-2.530000000000001,10.0,-2540.000000000001,-640.0000000000009
4,81.82,1.865,Mid,2017-05-05 13:30:00,80.0,2017-05-12 16:00:00,7.0,1.188541048294165,-2.163144707895372,-1.8199999999999932,ClosedCalled,10.0,C,,,,,,81.94,1.865,10.0,1855.0,2017-05-05 15:30:00,1.186800446319607,-2.3023928658600346,-1.9399999999999977,82.53,,,,2017-05-12 16:00:00,,,-2.530000000000001,10.0,-2540.000000000001,-685.0000000000009
5,81.94,1.975,Mid,2017-05-05 15:30:00,80.0,2017-05-12 16:00:00,7.0,1.2567994002580287,-2.438190836500573,-1.9399999999999977,ClosedCalled,10.0,C,,,,,,82.01,1.975,10.0,1965.0,2017-05-05 16:00:00,1.2557266535439928,-2.524010573623432,-2.010000000000005,82.53,,,,2017-05-12 16:00:00,,,-2.530000000000001,10.0,-2540.000000000001,-575.0000000000009
6,81.82,1.525,Mid,2017-05-01 11:30:00,80.5,2017-05-12 16:00:00,11.0,0.6184584787004733,-0.8163651918846205,-1.3199999999999932,ClosedCalled,10.0,C,,,,,,82.1,1.525,10.0,1515.0,2017-05-01 15:30:00,0.616349241501495,-0.9861587864023884,-1.5999999999999943,82.53,,,,2017-05-12 16:00:00,,,-2.030000000000001,10.0,-2040.0000000000011,-525.0000000000011
7,81.81,1.5,Mid,2017-05-01 13:30:00,80.5,2017-05-12 16:00:00,11.0,0.6083941727506084,-0.7969963663032983,-1.3100000000000023,ClosedCalled,10.0,C,,,,,,82.1,1.5,10.0,1490.0,2017-05-01 15:30:00,0.606245155575241,-0.969992248920382,-1.5999999999999943,82.53,,,,2017-05-12 16:00:00,,,-2.030000000000001,10.0,-2040.0000000000011,-550.0000000000011
8,82.1,1.7349999999999999,Mid,2017-05-01 15:30:00,80.5,2017-05-12 16:00:00,11.0,0.7012235632820286,-1.1219577012512418,-1.5999999999999943,ClosedCalled,10.0,C,,,,,,82.14,1.7349999999999999,10.0,1725.0,2017-05-01 16:00:00,0.7008820860172211,-1.149446621068243,-1.6400000000000006,82.53,,,,2017-05-12 16:00:00,,,-2.030000000000001,10.0,-2040.0000000000011,-315.00000000000114
9,81.92,1.5750000000000002,Mid,2017-05-02 15:30:00,80.5,2017-05-12 16:00:00,10.0,0.7017517089843751,-0.9964874267578139,-1.4200000000000017,ClosedCalled,10.0,C,,,,,,82.04,1.5750000000000002,10.0,1565.0000000000002,2017-05-02 16:00:00,0.7007252559726963,-1.0791168941979568,-1.5400000000000063,82.53,,,,2017-05-12 16:00:00,,,-2.030000000000001,10.0,-2040.0000000000011,-475.0000000000009
